date,product_id,category,sales_amount,quantity,region,customer_age,discount_rate
2023-01-01,B001,Home,175.81,8,West,30,0.09
2023-01-02,B002,Home,113.52,11,South,34,0.267
2023-01-03,A003,Home,640.07,1,East,41,0.004
2023-01-04,B002,Home,709.41,7,South,75,0.097
2023-01-05,B002,Home,41.27,17,South,25,0.166
2023-01-06,A002,Electronics,936.85,10,North,67,0.044
2023-01-07,A003,Home,61.45,11,East,44,0.028
2023-01-08,A003,Electronics,545.88,9,West,62,0.245
2023-01-09,A003,Home,711.97,9,East,40,0.268
2023-01-10,B002,Books,872.26,5,South,63,0.247
2023-01-11,B001,Clothing,716.95,17,West,25,0.27
2023-01-12,A003,Electronics,803.71,9,East,25,0.166
2023-01-13,B002,Home,346.06,17,South,76,0.244
2023-01-14,A002,Books,816.68,19,South,43,0.115
2023-01-15,B001,Clothing,89.31,7,North,64,0.2
2023-01-16,A002,Electronics,895.87,9,North,76,0.297
2023-01-17,B001,Clothing,552.12,7,North,30,0.068
2023-01-18,B002,Books,819.12,13,South,56,0.117
2023-01-19,A001,Electronics,457.8,11,East,54,0.144
2023-01-20,B001,Clothing,647.14,14,North,66,0.041
2023-01-21,A002,Home,531.14,19,East,45,0.024
2023-01-22,B002,Electronics,734.27,11,North,42,0.249
2023-01-23,B001,Clothing,90.81,13,West,78,0.293
2023-01-24,A001,Books,69.75,14,West,33,0.121
2023-01-25,A001,Books,254.63,13,North,72,0.026
2023-01-26,A003,Electronics,167.95,1,South,19,0.02
2023-01-27,A003,Clothing,873.07,8,North,71,0.267
2023-01-28,A002,Electronics,227.02,12,North,35,0.139
2023-01-29,B001,Electronics,976.11,19,South,34,0.096
2023-01-30,B001,Clothing,343.53,12,West,47,0.143
2023-01-31,A003,Clothing,190.3,8,East,56,0.095
2023-02-01,B001,Home,791.8,8,North,30,0.147
2023-02-02,B001,Clothing,662.12,13,South,49,0.258
2023-02-03,A001,Books,503.21,12,North,67,0.178
2023-02-04,A003,Electronics,559.81,16,South,46,0.208
2023-02-05,B002,Electronics,722.01,1,East,63,0.109
2023-02-06,A003,Books,236.17,13,East,47,0.222
2023-02-07,B002,Clothing,996.37,7,West,35,0.2
2023-02-08,A001,Books,975.05,5,South,30,0.036
2023-02-09,A002,Books,653.82,8,South,60,0.172
2023-02-10,B001,Home,207.55,14,West,38,0.077
2023-02-11,A001,Books,683.43,13,West,47,0.241
2023-02-12,B001,Electronics,81.48,15,South,38,0.128
2023-02-13,A002,Books,40.35,17,West,65,0.298
2023-02-14,A002,Electronics,265.11,15,East,72,0.028
2023-02-15,A001,Electronics,468.0,18,North,34,0.234
2023-02-16,A002,Electronics,869.59,18,East,57,0.202
2023-02-17,B002,Clothing,729.9,2,West,36,0.23
2023-02-18,A002,Home,745.28,4,South,69,0.092
2023-02-19,B001,Electronics,431.24,1,South,32,0.148
2023-02-20,B001,Electronics,352.48,4,East,26,0.239
2023-02-21,B001,Clothing,377.33,18,South,69,0.07
2023-02-22,B001,Electronics,987.77,5,West,27,0.068
